ref;ano;artigo
87;2015;Ceretti-Júnior, W., A. R. Medeiros-Sousa, A. B. B. Wilke, R. C. Strobel, L. D. Orico, R. S. Teixeira, S. Marques, and M. T. Marrelli. 2015. Mosquito faunal survey in a Central Park of the city of São Paulo, Brazil. Journal of the American Mosquito Control Association 31:172–176.
88;2017;de Carvalho, G. C., W. Ceretti-Junior, K. M. Barrio-Nuevo, R. Wilk-da-Silva, R. O. Christe, M. B. de Paula, D. P. Vendrami, L. C. Multini, E. Evangelista, A. A. Camargo, L. F. Souza, A. B. B. Wilke, A. R. Medeiros-Sousa, and M. T. Marrelli. 2017. Composição e diversidade de mosquitos (Diptera: Culicidae) em parques urbanos localizados na região Sul do município de São Paulo, Brasil. Biota Neotropica 17.
89;2008;Bona, A. C. D., and M. A. Navarro-Silva. 2008. Diversidade de Culicidae durante os períodos crepusculares em bioma de Floresta Atlântica e paridade de Anopheles cruzii (Diptera: Culicidae). Revista Brasileira de Zoologia 25:40–48.
90;2002;Do Nascimento, T. F. S., and R. Lourenco-de-Oliveira. 2002. Anopheles halophylus, a new species of the subgenus nyssorhynchus (Diptera: Culicidae) from Brazil. Memorias do Instituto Oswaldo Cruz 97:801–811.
91;2018;Dias, G. D. R., T. T. S. Fujii, B. F. Fogel, R. Lourenço-De-Oliveira, T. F. Silva-Do-Nascimento, A. N. Pitaluga, C. J. Carvalho-Pinto, A. B. Carvalho, A. A. Peixoto, and L. D. P. Rona. 2018. Cryptic diversity in an Atlantic Forest malaria vector from the mountains of South-East Brazil. Parasites and Vectors 11:1–11.
92;1995;Wilkerson, R. C., L. J. Hribar, E. G. Milstray, and G. C. Falero. 1995. The identification of Anopheles (Nyssorhynchus) rondoni (Diptera: Culicidae) in Mato Grosso State, Brazil: an analysis of key character variability. Memórias do Instituto Oswaldo Cruz 90:575–582.
93;2002;Da Silva-Vasconcelos, A., M. Y. Neves Kató, E. N. Mourão, R. T. Lessa De Souza, R. N. Da Luz Lacerda, A. Sibajev, P. Tsouris, M. M. Póvoa, H. Momen, and M. G. Rosa-Freitas. 2002. Biting indices, host-seeking activity and natural infection rates of anopheline species in Boa Vista, Roraima, Brazil from 1996 to 1998. Memorias do Instituto Oswaldo Cruz 97:151–161.
94;2008;Dos Santos-Neto, L. G., and A. L. Lozovei. 2008. Aspectos ecológicos de Anopheles cruzii e Culex ribeirensis (Diptera, Culicidae) da Mata Atlântica de Morretes, Paraná, Brasil. Revista Brasileira de Entomologia 52:105–111.
95;2009;Rezende, H. R., R. M. Soares, C. Cerutti Jr, I. C. Alves, D. Natal, P. R. Urbinatti, T. Yamasaki, A. Falqueto, and R. dos S. Malafronte. 2009. Entomological characterization and natural infection of anophelines in an area of the Atlantic Forest with autochthonous malaria cases in mountainous region of Espírito Santo State, Brazil. Neotropical Entomology 38:272–280.
96;2004;Tubaki, R., De Menezes, R.R.T., Cardoso, R.P., Bergo, E.S. 2004. Studies on entomological monitoring: Mosquito species frequency in riverine habitats of the Igarapava Dam, Southern Region, Brazil. Revista do Instituto de Medicina Tropical de São Paulo, 46, 4: 223-229
97;2005;Montes, J. 2005. Culicidae fauna of Serra da Cantareira, Sao Paulo, Brazil. Revista de Saude Publica 39:578–584.
98;2003;Taipe-Lagos, C. B., and D. Natal. 2003. Culicidae mosquito abundance in a preserved metropolitan area and its epidemiological implications. Revista de Saude Publica 37:275–279.
99;2015;Alencar, J., C. F. De Mello, A. É. Guimarães, H. R. Gil-Santana, J. Dos Santos Silva, J. R. Santos-Mallet, and R. M. Gleiser. 2015. Culicidae community composition and temporal dynamics in Guapiaçu ecological reserve, Cachoeiras de Macacu, Rio de Janeiro, Brazil. PLoS ONE 10:1–16.
100;2010;Silva, J. dos S., J. B. Pacheco, J. Alencar, and A. É. Guimarães. 2010. Biodiversity and influence of climatic factors on mosquitoes (Diptera: Culicidae) around the Peixe Angical hydroelectric scheme in the state of Tocantins, Brazil. Memorias do Instituto Oswaldo Cruz 105:155–162.
101;2017;Dos Santos Silva, J., C. M. Lopes, A. É. Guimarães, C. F. De Mello, and J. Alencar. 2017. Diversity of Mosquitoes at the Itatiaia National Park, State of Rio de Janeiro, Brazil. Journal of the American Mosquito Control Association 33:270–275.
102;2017;Sánchez-Ribas, J., J. Oliveira-Ferreira, J. E. Gimnig, C. Pereira-Ribeiro, M. S. A. Santos-Neves, and T. F. Silva-Do-Nascimento. 2017. Environmental variables associated with anopheline larvae distribution and abundance in Yanomami villages within unaltered areas of the Brazilian Amazon. Parasites and Vectors 10:1–15.
103;2017;Orlandin, E., E. B. Santos, M. Piovesan, M. A. Favretto, A. H. Schneeberger, V. O. Souza, G. A. Muller, and G. Wagner. 2017. Mosquitos (Diptera: Culicidae) do período crepuscular em área de floresta Atlântica no sul do Brasil. Brazilian Journal of Biology 77:60–67.
104;1994;Teodoro, U., A. L. F. Guilherme, A. L. Lozovei, V. La Salvia Filho, A. A. Sampaio, R. P. Spinosa, M. E. M. C. Ferreira, O. C. Barbosa, and E. M. de Lima. 1994. Mosquitos de ambientes peri e extradomiciliares na região sul do Brasil. Revista de Saúde Pública 28:107–115.
105;2014;dos Santos, E. B., M. A. Favretto, and G. A. Müller. 2014. Mosquitos ( Diptera?: Culicidae ) do Parque Natural Municipal do Vale do Rio do Peixe , Joaçaba , Santa Catarina , Brasil , com novos. Evidência 14:21–34.
106;2001;Urbinatti, P. R., S. Sendacz, and D. Natal. 2001. Imaturos de mosquitos (Diptera: Culicidae) em parque de área metropolitana aberto à visitação pública. Revista de Saúde Pública 35:461–466.
107;2011;Alencar, J., Z. M. Fereira, C. M. E. Lopes, N. M. Serra-Freire, R. P. De Mello, J. D. S. Silva, and A. É. Guimarães. 2011. Biodiversity and times of activity of mosquitoes (Diptera: Culicidae) in the biome of the atlantic forest in the state of Rio de Janeiro, Brazil. Journal of Medical Entomology 48:223–231.
108;2012;Alencar, J., V. S. De Mello, N. M. Serra-Freire, J. D. S. Silva, F. Morone, and A. É. Guimarães. 2012. Evaluation of mosquito (Diptera: Culicidae) species richness using two sampling methods in the hydroelectric reservoir of Simplício, Minas Gerais, Brazil. Zoological Science 29:218–222.
109;1995;Teodoro, U., A. L. F. Guilherme, A. L. Lozovei, V. La Salvia Filho, Y. Fukushigue, R. P. Spinosa, M. E. M. C. Ferreira, O. C. Barbosa, and E. M. de Lima. 1995. Culicídeos do lago de Itaipu, no rio Paraná, Sul do Brasil. Revista de Saúde Pública 29:6–14.
110;2014;Correa, F. F., R. M. Gleiser, P. J. Leite, E. Fagundes, H. R. Gil-Santana, C. F. Mello, R. Gredilha, and J. Alencar. 2014. Mosquito communities in Nova Iguaçu Natural Park, Rio de Janeiro, Brazil. Journal of the American Mosquito Control Association 30:83–90.
111;2011;Hutchings, R. S. G., M. A. M. Sallum, and R. W. Hutchings. 2011. Mosquito (Diptera: Culicidae) diversity of a forest-fragment mosaic in the Amazon rain forest. Journal of Medical Entomology 48:173–187.
112;2020;Orlandin, E., E. B. Santos, A. H. Schneeberger, V. O. Souza, and M. A. Favretto. 2020. Habitat use by Neotropical mosquitoes (Diptera: Culicidae): vegetation structure and edge effects. Austral Entomology 59:541–548.
113;2016;dos Santos, E. B., E. Orlandin, M. Piovesan, and M. A. Favretto. 2016. Nota sobre os mosquitos (Diptera: Culicidae) de um fragmento florestal urbano de Joaçaba, Santa Catarina, Brasil. Entomotropica 31:91–94.
114;1997;Guimarães, A. É., R. P. De Mello, C. M. Lopes, J. Alencar, and C. Gentile. 1997. Prevalência de Anofelinos (Diptera: Culicidae) no Crepúsculo Vespertino em Áreas da Usina Hidrelétrica de Itaipu, no Município de Guaíra, Estado do Paraná, Brasil. Memorias do Instituto Oswaldo Cruz 92:745–754.
115;2009;Barbosa, M. G. V., N. F. Fé, R. D. B. De Jesus, I. C. Rodriguez, W. M. Monteiro, M. P. G. Mourão, and J. A. D. O. Guerra. 2009. Aedes aegypti e fauna associada em área rural de Manaus, na Amazônia brasileira. Revista da Sociedade Brasileira de Medicina Tropical 42:213–216.
116;2012;Ribeiro, A. F., P. R. Urbinatti, A. M. R. De Castro Duarte, M. B. De Paula, D. M. Pereira, L. F. Mucci, A. Fernandes, M. H. S. H. De Mello, M. O. De Matos Júnior, R. C. De Oliveira, D. Natal, and R. Dos Santos Malafronte. 2012. Mosquitoes in degraded and preserved areas of the Atlantic Forest and potential for vector-borne disease risk in the municipality of São Paulo, Brazil. Journal of Vector Ecology 37:316–324.
117;2011;Dibo, M. R., R. M. T. de Menezes, C. P. Ghirardelli, A. L. Mendonça, and F. C. Neto. 2011. The presence of culicidae species in medium-sized cities in the State of São Paulo, Brazil and the risk of west nile fever and other arbovirus infection [Presença de culicídeos em município de porte médio do estado de são paulo e risco de ocorrência de fe. Revista da Sociedade Brasileira de Medicina Tropical 44:496–503.
118;2007;Nagm, L., J. F. Luitgards-Moura, C. D. S. Neucamp, F. S. Monteiro-De-Barros, N. A. Honório, P. Tsouris, and M. G. Rosa-Freitas. 2007. Affinity and diversity indices for anopheline immature forms. Revista do Instituto de Medicina Tropical de Sao Paulo 49:309–316.
119;2015;Dos Reis, I. C., C. T. Codeço, C. M. Degener, E. C. Keppeler, M. M. Muniz, F. G. S. De Oliveira, J. J. C. Cortês, A. De Freitas Monteiro, C. A. A. De Souza, F. C. M. Rodrigues, G. R. Maia, and N. A. Honório. 2015. Contribution of fish farming ponds to the production of immature Anopheles spp. in a Malaria-Endemic Amazonian town. Malaria Journal 14:1–12.
120;2013;Hutchings, R. S. G., R. W. H. Honegger, and M. A. M. Sallum. 2013. Culicidae (diptera: Culicomorpha) from the central brazilian amazon: Nhamundá and abacaxis rivers. Zoologia 30:1–14.
121;2015;Gil, L. H. S., M. de S. Rodrigues, A. A. de Lima, and T. H. Katsuragawa. 2015. Seasonal Distribution of Malaria Vectors (Diptera: Culicidae) in Rural Localities of Porto Velho, Rondônia, Brazilian Amazon. Revista do Instituto de Medicina Tropical de São Paulo 57:263–267.
122;2017;Pereira, A. C. N., Pereira-Filho, A. A., Brito, G. A., Moraes, J. L. P., & Rebêlo, J. M. M. (2017). First record of Aedeomyia squamipennis (Lynch Arribálzaga, 1878) (Diptera: Culicidae) in the state of Maranhão: Epidemiological implications and distribution in Brazil. Check List, 13(2). https://doi.org/10.15560/13.2.2084
123;1997;Rebêlo, J. M., A. R. da Silva, L. A. Ferreira, and J. A. Vieira. 1997. Anopheles (Culicidae, Anophelinae) and Malaria in Buriticupu-Santa Luzia, pre-Amazonic Maranhao. Revista da Sociedade Brasileira de Medicina Tropical 30:107–111.
124;2007;Gil, L. H. S., M. S. Tada, T. H. Katsuragawa, P. E. M. Ribolla, and L. H. P. Da Silva. 2007. Urban and suburban malaria in Rondônia (Brazilian Western Amazon) II. Perennial transmissions with high anopheline densities are associated with human environmental changes. Memorias do Instituto Oswaldo Cruz 102:271–276.
125;2005;Hutchings, R. S. G., M. A. M. Sallum, R. L. M. Ferreira, and R. W. Hutchings. 2005. Mosquitoes of the Jaú National Park and their potential importance in Brazilian Amazonia. Medical and Veterinary Entomology 19:428–441.
126;2016;Hutchings, R. S. G., R. W. Hutchings, I. S. Menezes, M. D. A. Motta, and M. A. M. Sallum. 2016. Mosquitoes (Diptera: Culicidae) from the northwestern brazilian amazon: Padauari river. Journal of Medical Entomology 53:1330–1347.
127;2012;Gama, R. A., I. M. da Silva, H. A. de Oliveira Monteiro, and Á. E. Eiras. 2012. Fauna de Culicidae em áreas rurais de Porto Velho e primeiro registro de Mansonia (Mansonia) flaveola (Coquillet, 1906), para o estado de rondônia, Brasil. Revista da Sociedade Brasileira de Medicina Tropical 45:125–127.
128;2010;Hutchings, R. S. G., R. W. Hutchings, and M. A. M. Sallum. 2010. Culicidae (Diptera, Culicomorpha) from the western Brazilian Amazon: Juami-Japurá Ecological Station. Revista Brasileira de Entomologia 54:687–691.
129;2010;Pauvolid-Corrêa, A., F. N. Tavares, J. Alencar, J. D. S. Silva, M. Murta, N. M. Serra-Freire, A. O. Pellegrin, H. Gil-Santana, A. É. Guimarães, and E. E. Da Silva. 2010. Preliminary investigation of culicidae species in South Pantanal, Brazil and their potential importance in arbovirus transmission. Revista do Instituto de Medicina Tropical de Sao Paulo 52:17–23.
130;1998;Labarthe, N., M. L. Serrão, Y. F. Melo, S. J. De Oliveira, and R. Lourenço-de-Oliveira. 1998. Mosquito Frequency and Feeding Habits in an Enzootic Canine Dirofilariasis Area in Niterói, State of Rio de Janeiro, Brazil. Memorias do Instituto Oswaldo Cruz 93:145–154.
131;2003;Sallum, M., Hutchings. R. 2003. Taxonomic studies on Culex (Melanoconion) coppenamensis Bonne-Wepster & Bonne (Diptera: Culicidae), and description of two new species from Brazil. Memorias do Instituto Oswaldo Cruz, 98, 5, 615-622.
132;2015;Marteis, L. S., Sallum, M. A. M., Natal, D., Oliveira, T. M. P., Gama, R. A., Dolabella, S. S., & Santos, R. L. C. (2015). First Record of Anopheles oryzalimnetes, Anopheles argyritarsis, and Anopheles sawyeri (Diptera: Culicidae) in the Caatinga Biome, Semiarid Scrubland of Sergipe State, Brazil. Journal of Medical Entomology, 52(5), 858–865. https://doi.org/10.1093/jme/tjv118
133;2021;Guimarães, L. D. O., Simões, R. F., Chagas, C. R. F., Menezes, R. M. T. de, Silva, F. S., Monteiro, E. F., … Kirchgatter, K. (2021). Assessing Diversity, Plasmodium Infection and Blood Meal Sources in Mosquitoes (Diptera: Culicidae) from a Brazilian Zoological Park with Avian Malaria Transmission. Insects, 12(3), 215. https://doi.org/10.3390/insects12030215
134;2017;Ferreira-keppler, R. L., Neiss, U. G., & Campos, C. M. (2017). The community of Diptera (Insecta) colonizing axils of axils of Alocasia macrorrhizos (L.) G.Don (Araceae), with records of Aedes aegypti (L.) and Aedes albopictus (Skuse) in urban areas of Manaus, Amazonas. Biota Neotropica, 17(3).
135;2011;Cardoso, J. da C., De Paula, M. B., Fernandes, A., Santos, E. dos, de Almeida, M. A. B., da Fonseca, D. F., & Sallum, M. A. M. (2011). First Record of Culex (Culex) brethesi (Dyar) (Diptera: Culicidae) in Rio Grande do Sul State, Brazil. Neotropical Entomology, 40(1), 145–147.
136;2014;dos Santos, I. M., & Calado, D. (2014). Captura de mosquitos antropofílicos (Diptera, Culicidae) em uma área urbana da região oeste da Bahia, Brasil. Iheringia - Serie Zoologia, 104(1), 32–38. https://doi.org/10.1590/1678-4766201410413238
137;2021;Silva, S. O. F., de Mello, C. F., Figueiró, R., Docile, T., Serdeiro, M., Fumian, F. F., & Alencar, J. (2021). Oviposition behavior of wild yellow fever vector mosquitoes (Diptera: Culicidae) in an Atlantic Forest fragment, Rio de Janeiro state, Brazil. Scientific Reports, 11(1), 1–7. https://doi.org/10.1038/s41598-021-85752-y
138;2003;Barbosa, A. A., Navarro-Silva, M. A., & Calado, D. (2003). Atividade de Culicidae em remanescente florestal na região urbana de Curitiba (Paraná, Brasil). Revista Brasileira de Zoologia, 20(1), 59–63. https://doi.org/10.1590/s0101-81752003000100007
139;2012;David, M. R., Ribeiro, G. S., & de Freitas, R. M. (2012). Bionomics of Culex quinquefasciatus within urban areas of Rio de Janeiro, Southeastern Brazil. Revista de Saude Publica, 46(5), 858–865. https://doi.org/10.1590/S0034-89102012000500013
140;2006;Laporta, G. Z., Urbinatti, P. R., & Natal, D. (2006). Aspectos ecológicos da população de Culex quinquefasciatus Say (Diptera, Culicidae) em abrigos situados no Parque Ecológico do Tietê, São Paulo, SP. Revista Brasileira de Entomologia, 50(1), 125–127. https://doi.org/10.1590/S0085-56262006000100019
141;2021;Barbosa, L. M. C., & Scarpassa, V. M. (2021). Blood-feeding behavior of Anopheles species (Diptera: Culicidae) in the district of Ilha de Santana, state of Amapá, eastern Brazilian Amazon. Revista Brasileira de Entomologia, 65(4), 1–17. https://doi.org/10.1590/1806-9665-rbent-2020-0048
142;2021;Balthazar, T. D., Maia, D. A., Oliveira, A. A., Marques, W. A., Bastos, A. Q., Vilela, M. L., & Mallet, J. R. S. (2021). Entomological surveillance of mosquitoes (Diptera: Culicidae), vectors of arboviruses, in an ecotourism park in Cachoeiras de Macacu, state of Rio de Janeiro-RJ, Brazil. Plos One, 16(12), e0261244. https://doi.org/10.1371/journal.pone.0261244
143;1998;Silva, M. A. N. da, & Lozovei, A. L. (1998). Mosquitos (Diptera, Culicidae) capturados com isca humana em área preservada de Curitiba, Paraná. Revista Brasileira de Zoologia, 15(4), 965–976. https://doi.org/10.1590/s0101-81751998000400015
144;2021;Scarpassa, V. M., & Saraiva, J. F. (2021). Anopheline species (Diptera: Culicidae) from the Maracá Ecological Station, Roraima State, Brazil. EntomoBrasilis, 14, e964. https://doi.org/10.12741/ebrasilis.v14.e964
145;2008;Calado, D. C., Foster, P. G., Bergo, E. S., Dos Santos, C. L. S., Galardo, A. K. R., & Sallum, M. A. M. (2008). Resurrection of Anopheles goeldii from synonymy with Anopheles nuneztovari (Diptera, Culicidae) and a new record for Anopheles dunhami in the Brazilian Amazon. Memorias Do Instituto Oswaldo Cruz, 103(8), 791–799. https://doi.org/10.1590/S0074-02762008000800009
146;2016;Scarpassa, V. M., Cunha-Machado, A. S., & Saraiva, J. F. (2016). Evidence of new species for malaria vector Anopheles nuneztovari sensu lato in the Brazilian Amazon region. Malaria Journal, 15(1), 1–16. https://doi.org/10.1186/s12936-016-1217-6
147;2011;Ramos, R. A. N., Costa, G. J. A., Carvalho, G. A. de, Faustino, M. A. G., & Alves, L. C. (2011). First Record of Culex (Culex) maxi Dyar (Diptera: Culicidae) in Pernambuco State, Brazil. Arquivos Do Instituto Biológico, 78(4), 623–624. https://doi.org/10.1590/1808-1657v78p6232011
148;2019;Soares, E. N. L., Santos, M. A. B., de Macedo, L. O., Santos, C. V. B., Agra, M. C. R., Alves, L. C., Ramos, R. A. N., & de Carvalho, G. A. (2019). Spatial distribution of Aedes aegypti (Diptera: Culicidae) in vulnerable areas for the transmission of arboviruses. Revista Da Sociedade Brasileira de Medicina Tropical, 52, 1–5. https://doi.org/10.1590/0037-8682-0341-2018
149;2017;Sant’Ana, D. C., & Sallum, M. A. M. (2017). Anopheles (Nyssorhynchus) striatus, a new species of the Strodei Subgroup (Diptera, Culicidae). Revista Brasileira de Entomologia, 61(2), 136–145. https://doi.org/10.1016/j.rbe.2016.12.005
150;2009;Miyazaki, R. D., Ribeiro, A. L. M., Pignatti, M. G., Campelo, J. H., & Pignati, M. (2009). Monitoramento do mosquito Aedes aegypti (Linnaeus, 1762) (Diptera: Culicidae), por meio de ovitrampas no Campus da Universidade Federal de Mato Grosso, Cuiabá, Estado de Mato Grosso. Revista Da Sociedade Brasileira de Medicina Tropical, 42(4), 392–397. https://doi.org/10.1590/S0037-86822009000400007
151;2007;Motoki, M. T., Linton, Y. M., Ruiz, F., Flores-Mendoza, C., & Sallum, M. A. M. (2007). Redescription of Anopheles oswaldoi (Peryassú, 1922) (Diptera: Culicidae), with formal lectotype designation. Zootaxa, 1588, 31–51. https://doi.org/10.11646/zootaxa.1588.1.2
152;2020;Hutchings, R. S. G., Hutchings, R. W., Menezes, I. S., & Sallum, M. A. M. (2020). Mosquitoes (Diptera: Culicidae) from the southwestern brazilian amazon: Liberdade and gregório rivers. Journal of Medical Entomology, 57(6), 1793–1811. https://doi.org/10.1093/jme/tjaa100
153;2020;Saraiva, J. F., Maitra, A., & Souto, R. N. P. (2020). Diversity and abundance of mosquitoes (Diptera, Culicidae) in a fragment of Amazon Cerrado in Macapá, State of Amapá, Brazil. EntomoBrasilis, 13, e901. https://doi.org/10.12741/ebrasilis.v13.e901
154;2020;Jacobina, A. C. M., Bandeira, J. D., Santos, F. A. L. dos, Dantas, E. S. de O., & Leite-Jr, D. P. (2020). Entomological profile and new registers of the genera Anopheles (Diptera, Culicidae) in a Brazilian rural community of the District of Coxipó do Ouro, Cuiabá, Mato Grosso. EntomoBrasilis, 13, e0848. https://doi.org/10.12741/ebrasilis.v13.e0848
155;2008;Barbosa, M. D. G. V., Fé, N. F., Marcião, A. H. R., Da Silva, A. P. T., Monteiro, W. M., Guerra, M. V. D. F., & Guerra, J. A. D. O. (2008). Registro de Culicidae de importância epidemiológica na área rural de Manaus, Amazonas. Revista Da Sociedade Brasileira de Medicina Tropical, 41(6), 658–663. https://doi.org/10.1590/S0037-86822008000600019
156;2004;Flores-Mendoza, C., Peyton, E. L., Wilkerson, R. C., & Lourenço-de-Oliveira, R. (2004). Anopheles (nyssorhynchus) konderi Galvão and Damasceno: Neotype designation and resurrection from synonymy with Anopheles (Nyssorhynchus) oswaldoi (Peryassu) (Diptera: Culicidae). Proceedings of the Entomological Society of Washington, 106(1), 118–132.
157;2020;Hendy, A., Hernandez-Acosta, E., Chaves, B. A., Fé, N. F., Valério, D., Mendonça, C., Lacerda, M. V. G. de, Buenemann, M., Vasilakis, N., & Hanley, K. A. (2020). Into the woods: Changes in mosquito community composition and presence of key vectors at increasing distances from the urban edge in urban forest parks in Manaus, Brazil. Acta Tropica, 206(March), 105441. https://doi.org/10.1016/j.actatropica.2020.105441
158;2019;Cândido, E. L., da Silva, U. M., & Cavalcanti, L. P. de G. (2019). New record and extended geographical distribution of Aedes fluviatilis (Lutz, 1904) in Ceará, Northeastern Brazil. Revista Da Sociedade Brasileira de Medicina Tropical, 52(December 2018), 0–2. https://doi.org/10.1590/0037-8682-0286-2018
159;2021;Freire, R. C. de M., Barbosa, T. de M., Jales, J. T., Ximenes, M. de F. F. de M., Corte, R. La, & Gama, R. A. (2021). Ecological aspects of mosquitoes (Diptera: Culicidae) in a fragment of seasonal dry tropical forest (Caatinga) in Brazil. Journal of Arid Environments, 190(April). https://doi.org/10.1016/j.jaridenv.2021.104528
160;2013;Alencar, J., Morone, F., Mello, C. F. de, Gil-Santana, H. R., & Guimarães, A. É. (2013). Immature mosquitoes (Diptera: Culicidae) in a eutrophic landfill tank from State of Rio de Janeiro, Brazil. Revista Da Sociedade Brasileira de Medicina Tropical, 46(6), 769–771. https://doi.org/10.1590/0037-8682-1670-2013
161;2011;Alencar, J., Pacheco, J. B., Correa, F. F., dos Santos Silva, J., & Guimarães, A. É. (2011). Novo relato sobre a bionomia de Coquillettidia venezuelensis em criadouros temporáries (Diptera: Culicidae). Revista Da Sociedade Brasileira de Medicina Tropical, 44(2), 247–248. https://doi.org/10.1590/S0037-86822011000200023
162;2010;Cardoso, J. da C., de Almeida, M. A. B., dos Santos, E., da Fonseca, D. F., Sallum, M. A. M., Noll, C. A., Monteiro, H. A. d. O., Cruz, A. C. R., Carvalho, V. L., Pinto, E. V., Castro, F. C., Neto, J. P. N., Segura, M. N. O., & Vasconcelos, P. F. C. (2010). Yellow fever virus in Haemagogus leucocelaenus and Aedes serratus mosquitoes, Southern Brazil, 2008. Emerging Infectious Diseases, 16(12), 1918–1924. https://doi.org/10.3201/eid1612.100608
163;1991;Forattini, O. P., Gomes, A. de C., Kakitani, I., & Marucci, D. (1991). Observações sobre domiciliação de mosquitos Culex (Melanoconion), em ambiente com acentuadas modificações antrópicas. Revista de Saúde Pública, 25(4), 257–266. https://doi.org/10.1590/s0034-89101991000400004
164;2021;Lemos, A. B. de, Silva, O. S. da, Deboni, S. C., Schallemberger, V., Santos, E. dos, Almeida, M. A. B. de, Marth, A. A. D., Silva, S., Mello, A. R. de L., Silva-Do-Nascimento, T. F., Cruz, M. de F. F. da, Lourenço-De-Oliveira, R., & Cardoso, J. da C. (2021). Reemergence of human malaria in Atlantic Forest of Rio Grande do Sul , Brazil. Memorias Do Instituto Oswaldo Cruz, 116(June), 1–5. https://doi.org/10.1590/0074-02760210064
165;2013;Silva, K. S. D., Pinto, I. D. S., Leite, G. R., Virgens, T. M. D., Santos, C. B. D., & Falqueto, A. (2013). Ecology of anopheline mosquitoes (Diptera: Culicidae) in the central atlantic forest biodiversity corridor, Southeastern Brazil. Journal of Medical Entomology, 50(1), 24–30. https://doi.org/10.1603/ME11219
166;2012;Müller, G. A., Dalla Bona, A. C., Marcondes, C. B., & Navarro-Silva, M. A. (2012). Crepuscular activity of culicids (Diptera, Culicidae) in the peridomicile and in the remaining riparian forest in Tibagi river, State of Paraná, Brazil. Revista Brasileira de Entomologia, 56(1), 111–114. https://doi.org/10.1590/S0085-56262012005000006
167;2018;Alencar, J., Mello, C. F. D. E., Morone, F., & Gomes, H. (2018). Distribution of Haemagogus and Sabethes species in relation to forest cover and climatic factore in the Chapada dos Guimarães National Park, State of Mato Grosso, Brazil. Journal of the American Mosquito Control Association, 34(2), 85–92.
168;2018;Silva, D. O. S. S., & Olsson, S. (2018). Influence of climatic factors on Psorophora (Janthinosoma) albigenu in pantanal landscape, Mato Grosso state, Brazil. Journal of the American Mosquito Control Association, 34(3), 177–181.
169;2018;Marinho-e-Silva, M., Sallum, M. A. M., Rosa-Freitas, M. G., Lourenço-de-Oliveira, R., & Silva-do-Nascimento, T. F. (2018). Anophelines species and the receptivity and vulnerability to malaria transmission in the pantanal Wetlands, central Brazil. Memorias Do Instituto Oswaldo Cruz, 113(2), 87–95. https://doi.org/10.1590/0074-02760170175
170;2018;Santos, T. P. dos, Roiz, D., Abreu, F. V. S. de, Luz, S. L. B., Santalucia, M., Jiolle, D., Neves, M. S. A. S., Simard, F., Lourenço-de-Oliveira, R., & Paupy, C. (2018). Potential of Aedes albopictus as a bridge vector for enzootic pathogens at the urban-forest interface in Brazil. Emerging Microbes and Infections, 7(1). https://doi.org/10.1038/s41426-018-0194-y
171;2018;Silva, S. O. F., Ferreira De Mello, C., Figueiró, R., De Aguiar Maia, D., & Alencar, J. (2018). Distribution of the Mosquito Communities (Diptera: Culicidae) in Oviposition Traps Introduced into the Atlantic Forest in the State of Rio de Janeiro, Brazil. Vector-Borne and Zoonotic Diseases, 18(4), 214–221. https://doi.org/10.1089/vbz.2017.2222
172;2020;Couto-Lima, D., Andreazzi, C. S., Leite, P. J., Bersot, M. I. L., Alencar, J., & Lourenço-De-oliveira, R. (2020). Seasonal population dynamics of the primary yellow fever vector haemagogus leucocelaenus (Dyar & shannon) (diptera: Culicidae) is mainly influenced by temperature in the atlantic forest, Southeast Brazil. Memorias Do Instituto Oswaldo Cruz, 115(6), 1–13. https://doi.org/10.1590/0074-02760200218
173;2012;Rocha, G. P., Lourenço-de-Oliveira, R., & Motta, M. de A. (2012). Wyeomyia exallos, a new species of sylvatic mosquito (Diptera: Culicidae) from Brazil. Memorias Do Instituto Oswaldo Cruz, 107(7), 928–934. https://doi.org/10.1590/S0074-02762012000700015
174;2007;Silva-do-Nascimento, T. F., & Lourenço-de-Oliveira, R. (2007). Diverse population dynamics of three Anopheles species belonging to the Triannulatus Complex (Diptera: Culicidae). Memorias Do Instituto Oswaldo Cruz, 102(8), 975–982. https://doi.org/10.1590/S0074-02762007000800013
175;2012;Soares-da-Silva, J., Ibiapina, S. S., Bezerra, J. M. T., Tadei, W. P., & Pinheiro, V. C. S. (2012). Variation in Aedes aegypti (Linnaeus) (Diptera, Culicidae) infestation in artificial containers in Caxias, state of Maranhão, Brazil. Revista Da Sociedade Brasileira de Medicina Tropical, 45(2), 174–179. https://doi.org/10.1590/s0037-86822012000200007
176;2010;Nagaki, S. S., Motta, M. de A., & Sallum, M. A. M. (2010). Redescription of Anopheles (Nyssorhynchus) antunesi Galvão & Amaral and description of a new species of the Myzorhynchella Section (Diptera: Culicidae) from Serra da Mantiqueira, Brazil. Memorias Do Instituto Oswaldo Cruz, 105(3), 278–285. https://doi.org/10.1590/S0074-02762010000300006
